HbEID;DOC_TYPE;Fachbereich;Gebiet;Unternehmen;Kostenstelle;Ergebniseinheit;Konto;Unterkonto;Wirtschaftsjahr;Veroffentlichungsdatum;Veroffentlichungszeit;Wahrung;Wechselkurs;DBCR_INDICATOR;Soll;Haben;Endbetrag;Transaktionsherkunft;Wirksamkeitsdatum;Wirkungszeitraum;Buchungstext;Kontenname;Storno-Indikator;Storno-Datum;Storno-Uhrzeit;Nutzer;Erstellungsdatum;Erstellungsuhrzeit;Manuelle/automatische Buchung;Geändert von;Genehmigt von;Genehmigungsdatum;Gelöscht-Markierung;Posten-Nummer;Batch Date
TO12999505;P;1;100;1;1;1;230988;1000;2017;28.06.2017;11:45:00;EUR;1;;10282029,64;0;10282029,64;GL;27.06.2017;6;Pzu Rückstellung für 5/27/2999.; PTO;N;;00:00:00;Tthompson;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
TO12999JUN;P;1;100;1;1;1;230988;1000;2017;28.06.2017;11:45:00;EUR;1;;0;10238895,13;-10238895,13;GL;30.06.2017;6;Pzu Rückstellung für Juni 2005.; PTO;B;;00:00:00;Tthompson;27.06.2017;11:45:00;Manual;;;;;401582-1;28.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;1038,07;-1038,07;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000090991, Posten 0231004;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;222,24;-222,24;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000090991, Posten 0231005;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;519,04;-519,04;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091002, Posten 0231004;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;111,12;-111,12;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091002, Posten 0231005;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;1038,07;-1038,07;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091003, Posten 0231004;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;222,24;-222,24;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091003, Posten 0231005;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;3114,22;-3114,22;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091314, Posten 0230051;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;666,71;-666,71;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091314, Posten 0230056;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;2076,14;-2076,14;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091319, Posten 0230051;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;444,47;-444,47;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091319, Posten 0230056;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;519,04;-519,04;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091468, Posten 0230051;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I07;P;1;100;1;1;1;221278;1000;2017;16.06.2017;11:45:00;EUR;1;;0;111,12;-111,12;GL;16.06.2017;6;Kosten Rückstellung für Vantive gescheitert;0000091468, Posten 0230056;N;;00:00:00;Jsmith;15.06.2017;11:45:00;Manual;;;;;401570-1;16.06.2017
N012999I02;P;1;100;1;1;1;221278;1000;2017;10.06.2017;20:15:00;EUR;1;;0;7895,2;-7895,2;GL;10.06.2017;6;Umkehrung PPV von Projekte für;0000093607, Linie 6;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999I02;P;1;100;1;1;1;221278;1000;2017;10.06.2017;20:15:00;EUR;1;;0;35536,29;-35536,29;GL;10.06.2017;6;Umkehrung PPV von Projekte für;0000093607, Linie 7;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999I02;P;1;100;1;1;1;221278;1000;2017;10.06.2017;20:15:00;EUR;1;;0;6579,33;-6579,33;GL;10.06.2017;6;Umkehrung PPV von Projekte für;0000093607, Linie 8;N;;00:00:00;Jsmith;09.06.2017;20:15:00;Manual;;;;;401564-1;10.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;213,17;0;213,17;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 10;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;1215,86;0;1215,86;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 12;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;221,07;0;221,07;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 13;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;51,32;0;51,32;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 14;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;82,9;0;82,9;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 15;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;155,93;0;155,93;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 16;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;90,79;0;90,79;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 17;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;58,04;0;58,04;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 18;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;118,43;0;118,43;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 19;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;69,08;0;69,08;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 20;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;48,57;0;48,57;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 21;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;78,95;0;78,95;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 22;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;132,24;0;132,24;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 23;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;73,03;0;73,03;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 24;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;90,79;0;90,79;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 25;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;98,69;0;98,69;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 26;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;104,2;0;104,2;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 27;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;78,95;0;78,95;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 28;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;671,09;0;671,09;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 3;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;2565,94;0;2565,94;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 35;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;907,95;0;907,95;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 4;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
N012999I10;P;1;100;1;1;1;221278;1000;2017;23.06.2017;11:45:00;EUR;1;;4737,12;0;4737,12;GL;23.06.2017;6;Rückstellung für fehlende PPV on BNS;0000095642, Linie 5;N;;00:00:00;Jsmith;22.06.2017;11:45:00;Manual;;;;;401577-1;23.06.2017
