Konto|Unterkonto|NO_OF_RECS|Betrag
101021|1000|45.00|-908967.68
101478|1000|39.00|-115729355.59
101978|1000|21.00|17385929.69
102478|1000|18.00|60810792.93
103018|1000|4.00|5373345.20
120978|1000|12.00|-341798.80
120979|1000|7.00|2248462.49
120993|1000|2.00|344003.29
121278|1000|22.00|-19405955.38
121478|1000|3.00|-1126463.35
121498|1000|1.00|10637.02
121508|1000|2.00|-140473.60
121978|1000|3.00|172386.66
122078|1000|25.00|-14069.05
122178|1000|7.00|-81444.25
122183|1000|13.00|-1203677.15
122578|1000|2.00|774612.92
122678|1000|1.00|-351963.23
130978|1000|4.00|-1178572.00
130979|1000|4.00|-575095.92
131078|1000|6.00|-198848.15
131278|1000|2.00|3307035.73
131378|1000|2.00|156361.47
133978|1000|1182.00|-22449609.45
134018|1000|5.00|79290.67
134078|1000|1136.00|18641469.93
134118|1000|10.00|128965.01
134978|1000|5.00|1077025.35
139978|1000|27.00|-1412883.43
140978|1000|1.00|-341526.53
140988|1000|3.00|-40192630.10
140998|1000|1.00|-23042.87
141008|1000|1.00|-18537.46
182378|1000|2.00|188938.50
192069|1000|1.00|-1569.66
193038|1000|4.00|0.00
199978|1000|30.00|31195069.93
209978|1000|4.00|-86270.69
220979|1000|4.00|-2045999.87
220988|1000|2.00|1858845.32
221088|1000|6.00|-2099602.17
221178|1000|30.00|1001534.44
221278|1000|54.00|1211761.96
221298|1000|79.00|-3142389.01
222078|1000|25.00|14069.05
222183|1000|12.00|-1822222.52
222193|1000|6.00|-47859.11
229978|1000|6.00|76798.35
229988|1000|29.00|-1190672.20
229998|1000|1.00|-72889.25
230973|1000|2.00|-118622.64
230988|1000|2.00|43134.51
231008|1000|1.00|-22740.12
231048|1000|1.00|-3099.60
231058|1000|2.00|0.00
231068|1000|4.00|-8343.16
231178|1000|17.00|-67709.71
231188|1000|15.00|-21569.58
231988|1000|1.00|-0.05
232028|1000|1.00|-0.02
232478|1000|34.00|710385.58
232498|1000|4.00|42127.66
232508|1000|4.00|15130.36
232518|1000|5.00|866.94
232967|1000|1.00|60.72
239969|1000|3.00|-155.38
239970|1000|1.00|-319.88
239971|1000|2.00|-177817.13
239973|1000|3.00|553056.49
239974|1000|3.00|-19213.79
239975|1000|2.00|-52029.26
239977|1000|2.00|-43997.31
239978|1000|2.00|-28949.42
239979|1000|1.00|-697.80
239980|1000|1.00|-2069.66
239981|1000|3.00|-18270.19
239982|1000|2.00|-738.94
239983|1000|2.00|-2192.45
239984|1000|2.00|460.72
239985|1000|2.00|-280.75
239986|1000|2.00|-2081.09
239987|1000|1.00|-15.84
239988|1000|2.00|-22213.36
239989|1000|2.00|-54393.28
239990|1000|2.00|-11587.35
239991|1000|2.00|8808.09
239992|1000|1.00|-6.68
239993|1000|2.00|-781.57
239995|1000|2.00|-6103.35
239996|1000|2.00|-13794.74
239998|1000|3.00|-24725.10
239999|1000|2.00|-4567.66
240000|1000|4.00|-67769.28
240001|1000|2.00|-22131.36
240002|1000|1.00|-36.89
240003|1000|2.00|-26077.18
240004|1000|1.00|-156.71
240006|1000|3.00|-2435.13
240007|1000|1.00|-1569.58
240008|1000|1.00|-88.36
240010|1000|9.00|-1125.91
240011|1000|3.00|-162237.08
240012|1000|2.00|-732.33
240014|1000|2.00|-1845.16
240015|1000|3.00|38076.98
240016|1000|1.00|-13759.33
240017|1000|2.00|-1186.27
240019|1000|1.00|-13651.11
240069|1000|1.00|-84.92
240073|1000|2.00|-1788.80
240074|1000|2.00|-29.61
240075|1000|1.00|-729.21
240077|1000|1.00|22.39
240078|1000|1.00|-17.54
240081|1000|2.00|10.70
240089|1000|1.00|-130.03
240098|1000|2.00|32.83
240100|1000|2.00|1096.14
240103|1000|1.00|-572.35
240106|1000|1.00|-28.19
240111|1000|2.00|15789.25
240167|1000|3.00|1170903.81
244978|1000|3.00|194876.15
249978|1000|3.00|165987.43
249988|1000|2.00|-4563.45
252978|1000|93.00|-787896.12
252988|1000|3.00|43860947.14
252998|1000|1.00|29625.85
255178|1000|2.00|22669388.78
259978|1000|2.00|-101364.10
299978|1000|4.00|0.00
309978|1000|4.00|0.00
401268|1000|9.00|-9631.00
401468|1000|287.00|-119004.99
401668|1000|720.00|-537437.32
410069|1000|2.00|140473.60
410098|1000|43.00|-1459568.89
410328|1000|1.00|37770.24
410688|1000|19.00|-44248612.34
410691|1000|20.00|41702612.38
410708|1000|9.00|-29625.84
440068|1000|1.00|-77310.15
501468|1000|21.00|47524.96
501473|1000|32.00|-8712.13
501478|1000|14.00|-98235.74
501483|1000|6.00|-291.20
501567|1000|36.00|0.02
501668|1000|8.00|5487.66
501673|1000|30.00|5495.57
501678|1000|229.00|378446.58
501683|1000|6.00|291.20
501767|1000|38.00|0.01
510083|1000|36.00|-1019239.79
510098|1000|53.00|1403929.38
510328|1000|7.00|-53706.86
510713|1000|316.00|-13414.43
510723|1000|12.00|23042.87
510738|1000|3.00|18537.46
510766|1000|33.00|0.01
510767|1000|33.00|0.02
599068|1000|240.00|-161423.97
599078|1000|81.00|46449.63
599083|1000|2.00|0.00
599368|1000|2.00|-938391.52
599468|1000|1200.00|280818.60
599668|1000|1.00|-90.48
600978|1000|14.00|-4347.66
601118|1000|3.00|1495.04
601168|1000|44.00|91296.52
604978|1000|3.00|-649.53
605118|1000|2.00|146.33
605168|1000|12.00|34644.98
